Date,Time,Source,Headline,Symbol,Company,Positive,Negative,Neutral
01/16/2024,9:00AM,Business Wire,Apple previews new entertainment experiences launching with Apple Vision Pro,NASDAQ:AAPL,Apple Inc,0.14842920005321503,0.009633095003664494,0.8419377207756042
01/16/2024,6:15AM,IH Market News,"Wall Street Highlights: Apple Cuts iPhone Prices in China, Microsoft Launches Copilot Pro Subscription, and More",NASDAQ:AAPL,Apple Inc,0.04525994509458542,0.8006309866905212,0.15410900115966797
01/11/2024,5:45PM,Dow Jones News,"Apple CEO Tim Cook Takes Steep Pay Cut, as Expected",NASDAQ:AAPL,Apple Inc,0.01541279535740614,0.9310884475708008,0.053498756140470505
01/11/2024,4:30PM,Business Wire,Wanda Austin to join Apple’s board of directors,NASDAQ:AAPL,Apple Inc,0.042597446590662,0.0298638753592968,0.9275386929512024
01/08/2024,10:24AM,Dow Jones News,Apple's Vision Pro to Become Available In U.S. Feb. 2 -- Update,NASDAQ:AAPL,Apple Inc,0.05476094037294388,0.012933136895298958,0.9323059320449829
01/08/2024,9:41AM,Dow Jones News,Apple's Vision Pro to Become Available in U.S. Feb. 2,NASDAQ:AAPL,Apple Inc,0.09621449559926987,0.01584487594664097,0.8879406452178955
01/08/2024,9:00AM,Business Wire,Apple Vision Pro available in the U.S. on February 2,NASDAQ:AAPL,Apple Inc,0.07512505352497101,0.012912368401885033,0.911962628364563
01/05/2024,3:10PM,Dow Jones News,"DOJ May File Apple Antitrust Case In 1H24, New York Times Reports",NASDAQ:AAPL,Apple Inc,0.030230337753891945,0.42813965678215027,0.5416300296783447
01/04/2024,10:50AM,Dow Jones News,Apple on Track for Lowest Close Since November 2023 -- Data Talk,NASDAQ:AAPL,Apple Inc,0.011912616901099682,0.8979056477546692,0.09018164873123169
12/27/2023,6:08AM,IH Market News,"Wall Street Highlights: Apple Appeals Watch Ban, Tesla to Launch Updated Model Y, and More",NASDAQ:AAPL,Apple Inc,0.0759277269244194,0.04814146086573601,0.8759307861328125
12/26/2023,2:49PM,Dow Jones News,"Trending: Apple to Appeal U.S. Ban on Series 9, Ultra 2 Smartwatches",NASDAQ:AAPL,Apple Inc,0.018179871141910553,0.9124914407730103,0.0693286582827568
12/14/2023,5:59AM,IH Market News,"Apple Stocks Reach Record, Adobe Faces Stock Drops, Berkshire Hathaway Increases Stake in OXY, and More",NASDAQ:AAPL,Apple Inc,0.05408115312457085,0.8418196439743042,0.10409918427467346
12/13/2023,11:11AM,Dow Jones News,Apple On Pace for Record High Close -- Data Talk,NASDAQ:AAPL,Apple Inc,0.4545551836490631,0.08459252119064331,0.46085235476493835
12/08/2023,6:23AM,IH Market News,"Apple Boosts Vietnam Production, Broadcom Revenue Miss, Stellantis Job Cuts – Latest Updates",NASDAQ:AAPL,Apple Inc,0.09721895307302475,0.7497245073318481,0.1530565470457077
11/30/2023,9:49AM,Dow Jones News,Amkor to Invest $2 Billion in Chip-Packaging Facility to Serve Apple,NASDAQ:AAPL,Apple Inc,0.6039125323295593,0.00679019745439291,0.389297217130661
11/29/2023,11:00PM,Business Wire,"Apple unveils App Store Award winners, the best apps and games of 2023",NASDAQ:AAPL,Apple Inc,0.1175006702542305,0.014426416717469692,0.8680729269981384
11/09/2023,5:30PM,Dow Jones News,Apple to Pay Up to $25 Million to Settle U.S. Discrimination Charges -- Update,NASDAQ:AAPL,Apple Inc,0.17192834615707397,0.15351848304271698,0.6745531558990479
11/09/2023,4:58PM,Dow Jones News,Apple to Pay Up to $25 Million to Settle U.S. Discrimination Charges,NASDAQ:AAPL,Apple Inc,0.22940593957901,0.6558072566986084,0.114786796271801
11/09/2023,6:23AM,Dow Jones News,"Apple Co-Founder Wozniak Hospitalized in Mexico, CNN Reports",NASDAQ:AAPL,Apple Inc,0.023930568248033524,0.676178514957428,0.2998909056186676
11/03/2023,1:26PM,IH Market News,Apple’s Stock Takes a Hit Following Bleak Holiday Quarter Warning,NASDAQ:AAPL,Apple Inc,0.1389438360929489,0.8065157532691956,0.054540444165468216
11/03/2023,7:32AM,IH Market News,"Friday’s Wall Street Highlights: Apple, Bill Holdings, Paramount, Block, and more",NASDAQ:AAPL,Apple Inc,0.031023617833852768,0.04515472799539566,0.9238216280937195
11/03/2023,2:55AM,Dow Jones News,Apple's Chinese Supplier Stocks Rise on Strong iPhone Demand,NASDAQ:AAPL,Apple Inc,0.8982053399085999,0.0719764307141304,0.029818326234817505
11/02/2023,8:00PM,Business Wire,"Apple MixC Wenzhou opens for customers this Saturday, November 4, in China",NASDAQ:AAPL,Apple Inc,0.07485751062631607,0.010626613162457943,0.9145158529281616
11/02/2023,5:57PM,Dow Jones News,Starbucks Collaborates with Apple on Green Apron Innovation Store in Growth Plan,NASDAQ:AAPL,Apple Inc,0.6800829768180847,0.009054062888026237,0.3108629286289215
11/02/2023,4:30PM,Business Wire,Apple reports fourth quarter results,NASDAQ:AAPL,Apple Inc,0.038603276014328,0.15057140588760376,0.8108252882957458
10/30/2023,8:28PM,Business Wire,"Apple unveils the new MacBook Pro featuring the M3 family of chips, making the world’s best pro laptop even better",NASDAQ:AAPL,Apple Inc,0.8287002444267273,0.010961775667965412,0.160337895154953
10/30/2023,8:28PM,Business Wire,"Apple unveils M3, M3 Pro, and M3 Max, the most advanced chips for a personal computer",NASDAQ:AAPL,Apple Inc,0.4024852514266968,0.011087005957961082,0.5864278078079224
10/26/2023,6:16PM,Dow Jones News,Masimo Shares Rise 11% After Agency Rules Apple Violated Patent,NASDAQ:AAPL,Apple Inc,0.686324417591095,0.23480243980884552,0.07887305319309235
10/23/2023,10:31AM,Dow Jones News,"Apple Currently Down Seven Consecutive Days, on Track for Longest Losing Streak Since January 2022 -- Data Talk",NASDAQ:AAPL,Apple Inc,0.01056587602943182,0.9339019656181335,0.05553213506937027
10/20/2023,11:42AM,Dow Jones News,"Apple Currently Down Six Consecutive Days, On Track for Longest Losing Streak Since January 2022 -- Data Talk",NASDAQ:AAPL,Apple Inc,0.010742229409515858,0.9322069883346558,0.057050805538892746
10/16/2023,9:00AM,Business Wire,Apple Store online launches in Chile to bring customers exciting new shopping options,NASDAQ:AAPL,Apple Inc,0.7996399998664856,0.007585043087601662,0.19277499616146088
10/06/2023,5:20AM,Dow Jones News,"South Korea Plans to Fine Google, Apple for Breaching Mobile Payment Rules -- Update",NASDAQ:AAPL,Apple Inc,0.018108388409018517,0.9082074165344238,0.0736842155456543
10/06/2023,1:55AM,Dow Jones News,"South Korea Plans to Fine Google, Apple for Breaching Mobile Payment Rules",NASDAQ:AAPL,Apple Inc,0.01454709842801094,0.9456711411476135,0.039781734347343445
10/04/2023,7:22AM,IH Market News,"Wednesday’s Wall Street Highlights: Apple, Intel, Cal-Maine, A10 Networks, and more",NASDAQ:AAPL,Apple Inc,0.048324957489967346,0.02136915735900402,0.9303058385848999
10/03/2023,7:58AM,IH Market News,"Tuesday’s Wall Street Highlights: GM, Airbnb, Tesla, Apple, Oddity Tech, and more",NASDAQ:AAPL,Apple Inc,0.037848297506570816,0.028158672153949738,0.9339930415153503
10/02/2023,11:50AM,Dow Jones News,Apple's Appeal of EUR50 Million Fine Rejected by Dutch Regulator,NASDAQ:AAPL,Apple Inc,0.0747017040848732,0.8905124068260193,0.03478594869375229
09/20/2023,9:19AM,Dow Jones News,"Apple Scrapped Project With Goldman to Put Stock-Trading on iPhones, CNBC Reports",NASDAQ:AAPL,Apple Inc,0.04965954273939133,0.15962788462638855,0.7907125949859619
09/18/2023,2:13PM,Dow Jones News,Apple Is Best Performer in the DJIA So Far Today -- Data Talk,NASDAQ:AAPL,Apple Inc,0.8488450646400452,0.013669549487531185,0.1374853253364563
09/15/2023,11:25AM,Dow Jones News,Apple to Roll out Software Update in France to Address iPhone 12 Radiation Concerns -- 2nd Update,NASDAQ:AAPL,Apple Inc,0.17989327013492584,0.01861342042684555,0.8014932870864868
09/15/2023,8:34AM,Dow Jones News,Apple to Roll out Software Update in France to Address IPhone 12 Radiation Concerns -- Update,NASDAQ:AAPL,Apple Inc,0.09425695985555649,0.018099837005138397,0.8876431584358215
09/15/2023,6:01AM,Dow Jones News,Apple to Roll Out Software Update in France to Address iPhone 12 Radiation Concerns,NASDAQ:AAPL,Apple Inc,0.16699595749378204,0.011286034248769283,0.8217180371284485
09/13/2023,10:44AM,Dow Jones News,Apple Pushes Back Against Order to Stop Sale of iPhone 12 in France Over Radiation Levels,NASDAQ:AAPL,Apple Inc,0.01582554168999195,0.8996588587760925,0.08451556414365768
09/13/2023,7:37AM,IH Market News,"Wednesday’s Wall Street Highlights: Apple, Xpeng, GoDaddy, BP, UBS, Nike, and more",NASDAQ:AAPL,Apple Inc,0.04272754117846489,0.026488298550248146,0.9307841062545776
09/13/2023,6:17AM,Dow Jones News,"China Says No Laws, Regulations Banning Use of Apple's iPhones -- Update",NASDAQ:AAPL,Apple Inc,0.025497188791632652,0.16766761243343353,0.8068351745605469
09/13/2023,5:56AM,Dow Jones News,China Denies Ban on Apple's iPhones,NASDAQ:AAPL,Apple Inc,0.03715156018733978,0.5109614133834839,0.4518870413303375
09/12/2023,2:20PM,Business Wire,Apple introduces new AirPods Pro (2nd generation) with USB-C charging capabilities,NASDAQ:AAPL,Apple Inc,0.4441295266151428,0.01118871197104454,0.5446817874908447
09/12/2023,2:20PM,Business Wire,Apple unveils iPhone 15 Pro and iPhone 15 Pro Max,NASDAQ:AAPL,Apple Inc,0.09964876621961594,0.012665919028222561,0.8876853585243225
09/12/2023,2:20PM,Business Wire,Apple unveils its first carbon neutral products,NASDAQ:AAPL,Apple Inc,0.11042110621929169,0.01150322426110506,0.8780756592750549
09/12/2023,2:20PM,Business Wire,Apple debuts iPhone 15 and iPhone 15 Plus,NASDAQ:AAPL,Apple Inc,0.3091083765029907,0.012331572361290455,0.6785600185394287
09/12/2023,2:20PM,Business Wire,Apple unveils Apple Watch Ultra 2,NASDAQ:AAPL,Apple Inc,0.09389034658670425,0.013558560982346535,0.8925511240959167
09/12/2023,1:28PM,Business Wire,Apple introduces the advanced new Apple Watch Series 9,NASDAQ:AAPL,Apple Inc,0.1200103610754013,0.010312683880329132,0.869676947593689
09/12/2023,7:29AM,IH Market News,"Tuesday’s Wall Street Highlights: Apple, Acelyrin, WestRock, Oracle, UPS, and more",NASDAQ:AAPL,Apple Inc,0.03850201889872551,0.0316314660012722,0.9298665523529053
09/11/2023,8:15AM,Dow Jones News,Qualcomm Shares Jump on Apple Supply Deal,NASDAQ:AAPL,Apple Inc,0.1733405739068985,0.7085537910461426,0.11810562759637833
09/08/2023,9:25AM,IH Market News,"Friday’s Wall Street Highlights: Apple, Goldman Sachs, Morgan Stanley, DocuSign, and more",NASDAQ:AAPL,Apple Inc,0.03513983264565468,0.034285105764865875,0.9305750131607056
09/07/2023,10:29AM,Dow Jones News,"Apple Currently Down Two Consecutive Days, on Track for Worst Two Day Stretch Since November 2022, -- Data Talk",NASDAQ:AAPL,Apple Inc,0.009204813279211521,0.9518095850944519,0.03898565098643303
09/06/2023,7:20AM,IH Market News,"Wednesday’s Wall Street Highlights: Verb Technology, Apple, Alphabet, Warner Bros, and more",NASDAQ:AAPL,Apple Inc,0.03264665603637695,0.030758734792470932,0.9365946650505066
09/01/2023,10:40AM,Dow Jones News,"Apple Currently Up Six Consecutive Days, on Track for Longest Winning Streak Since March 2022 -- Data Talk",NASDAQ:AAPL,Apple Inc,0.18979474902153015,0.02253802865743637,0.7876672148704529
08/30/2023,2:04PM,Dow Jones News,"Apple Tests Use of 3D Printers in Smartwatch Components, Bloomberg Reports",NASDAQ:AAPL,Apple Inc,0.09091157466173172,0.011689368635416031,0.8973990082740784
08/10/2023,6:34AM,Finscreener.org,"Apple, Intel, and Nvidia To Invest In Arm Post its IPO",NASDAQ:AAPL,Apple Inc,0.4995409846305847,0.010798036120831966,0.48966097831726074
08/08/2023,11:53AM,Dow Jones News,"Apple Currently Down Six Consecutive Days, on Track for Longest Losing Streak Since January 2022 -- Data Talk",NASDAQ:AAPL,Apple Inc,0.010742229409515858,0.9322069883346558,0.057050805538892746
08/07/2023,11:30AM,Dow Jones News,"Apple Currently Down Five Consecutive Days, on Track for Longest Losing Streak Since December 2022 -- Data Talk",NASDAQ:AAPL,Apple Inc,0.010686734691262245,0.9317359328269958,0.057577259838581085
08/04/2023,10:26AM,Dow Jones News,Apple on Pace for Largest Percent Decrease Since January -- Data Talk,NASDAQ:AAPL,Apple Inc,0.022810373455286026,0.9447264671325684,0.03246312960982323
08/04/2023,7:31AM,IH Market News,"Friday’s Wall Street Highlights: Amazon, Apple, Fortinet, Atlassian, DraftKings, and more",NASDAQ:AAPL,Apple Inc,0.03612556681036949,0.029394522309303284,0.9344799518585205
08/03/2023,10:00PM,IH Market News,Apple Sees Drop In Demand For Smartphones In Its Fiscal Third Quarter,NASDAQ:AAPL,Apple Inc,0.006907290779054165,0.972915768623352,0.020176880061626434
08/03/2023,4:30PM,Business Wire,Apple reports third quarter results,NASDAQ:AAPL,Apple Inc,0.034501079469919205,0.11651904135942459,0.8489798903465271
08/03/2023,7:33AM,IH Market News,"Thursday’s Wall Street Highlights: Anheuser-Busch InBev, Apple, Hasbro, Sunrun and more",NASDAQ:AAPL,Apple Inc,0.044766224920749664,0.026851801201701164,0.9283819794654846
07/31/2023,5:30AM,Finscreener.org,Apple and Amazon Earnings In Focus This Week,NASDAQ:AAPL,Apple Inc,0.02819916233420372,0.05796141177415848,0.9138393998146057
07/20/2023,7:45AM,IH Market News,"Thursday’s Wall Street Highlights: Tesla, Apple, TSMC, Netflix, Pfizer, J&J, and more",NASDAQ:AAPL,Apple Inc,0.03327588364481926,0.0275415126234293,0.9391825795173645
07/19/2023,1:04PM,Dow Jones News,"Apple Working on AI Tools to Challenge Competitors' Offerings, Bloomberg Says",NASDAQ:AAPL,Apple Inc,0.8423617482185364,0.00903395190834999,0.14860428869724274
07/12/2023,4:33PM,Business Wire,"Apple lands record 54 Emmy Award nominations, and makes history as “Ted Lasso” becomes the most Emmy-nominated comedy for the third consecutive year, and “STILL: A Michael J. Fox Movie” becomes most-nominated documentary",NASDAQ:AAPL,Apple Inc,0.5619978308677673,0.029092442244291306,0.4089096486568451
06/30/2023,4:55PM,Dow Jones News,"Nokia, Apple Sign New Patent Cross-License Agreement Ahead of Expiration",NASDAQ:AAPL,Apple Inc,0.8115635514259338,0.016420410946011543,0.17201608419418335
06/30/2023,12:09PM,Dow Jones News,Apple Shares Hit All-Time High in Push Toward $3 Trillion Market Cap,NASDAQ:AAPL,Apple Inc,0.8073605895042419,0.020866770297288895,0.17177270352840424
06/30/2023,11:00AM,Dow Jones News,Apple On Track for Record High Close -- Data Talk,NASDAQ:AAPL,Apple Inc,0.5882413983345032,0.047377463430166245,0.3643811345100403
06/21/2023,4:00PM,Business Wire,Developer tools to create spatial experiences for Apple Vision Pro now available,NASDAQ:AAPL,Apple Inc,0.11021118611097336,0.009680493734776974,0.8801082968711853
06/14/2023,9:05AM,Business Wire,"Apple’s Racial Equity and Justice Initiative surpasses $200 million in investments, doubling initial 2020 commitment",NASDAQ:AAPL,Apple Inc,0.9302786588668823,0.013495645485818386,0.0562257319688797
06/12/2023,5:12PM,Dow Jones News,Apple Closes At All-Time High -- Data Talk,NASDAQ:AAPL,Apple Inc,0.625985860824585,0.057011011987924576,0.3170031011104584
06/07/2023,1:03PM,ValueWalk,Searches For ‘VR’ Rocket 300% Worldwide After Apple Unveils Vision Pro,NASDAQ:AAPL,Apple Inc,0.7564100027084351,0.020825961604714394,0.22276413440704346
06/06/2023,11:33AM,ValueWalk,Vision Pro Is Here – Apple’s Most Ambitious And Riskiest Product In Years,NASDAQ:AAPL,Apple Inc,0.53790283203125,0.019012916833162308,0.44308415055274963
06/05/2023,3:03PM,Business Wire,Introducing Apple Vision Pro: Apple’s first spatial computer,NASDAQ:AAPL,Apple Inc,0.15377308428287506,0.009866571985185146,0.8363603353500366
06/05/2023,2:19PM,Business Wire,Apple announces powerful new privacy and security features,NASDAQ:AAPL,Apple Inc,0.36542344093322754,0.018044820055365562,0.6165317893028259
06/05/2023,2:19PM,Business Wire,Apple provides powerful insights into new areas of health,NASDAQ:AAPL,Apple Inc,0.6012288928031921,0.008574253879487514,0.390196830034256
06/05/2023,1:17PM,Business Wire,Apple introduces the 15-inch MacBook Air,NASDAQ:AAPL,Apple Inc,0.09056764841079712,0.02408570796251297,0.8853466510772705
06/05/2023,1:17PM,Business Wire,Apple introduces M2 Ultra,NASDAQ:AAPL,Apple Inc,0.08214198797941208,0.01795092411339283,0.8999070525169373
06/05/2023,1:17PM,Business Wire,Apple unveils new Mac Studio and brings Apple silicon to Mac Pro,NASDAQ:AAPL,Apple Inc,0.1379729062318802,0.012186815962195396,0.8498402833938599
05/23/2023,2:32PM,Dow Jones News,"Trending: Broadcom, Apple Extend Chip-Supply Deal",NASDAQ:AAPL,Apple Inc,0.8620286583900452,0.02077704295516014,0.11719430983066559
05/23/2023,9:47AM,Dow Jones News,Apple Strikes Multibillion-Dollar Supply Deal With Broadcom,NASDAQ:AAPL,Apple Inc,0.8963739275932312,0.02337290346622467,0.08025306463241577
05/18/2023,5:36PM,Dow Jones News,Apple Shares Close at 52-Week High,NASDAQ:AAPL,Apple Inc,0.2984820306301117,0.11704143136739731,0.5844765305519104
05/18/2023,12:13PM,Dow Jones News,Apple on Track for Highest Close Since April 2022 -- Data Talk,NASDAQ:AAPL,Apple Inc,0.3677850365638733,0.040819182991981506,0.5913958549499512
05/17/2023,10:00PM,Business Wire,Apple launches Apple Store online in Vietnam,NASDAQ:AAPL,Apple Inc,0.08438916504383087,0.013947151601314545,0.9016636610031128
05/16/2023,8:00AM,Business Wire,"Apple introduces new features for cognitive accessibility, along with Live Speech, Personal Voice, and Point and Speak in Magnifier",NASDAQ:AAPL,Apple Inc,0.271438866853714,0.01011594943702221,0.7184452414512634
05/11/2023,6:27AM,Finscreener.org,Apple s Earnings Report Shines with Record Revenues and Continued Innovation,NASDAQ:AAPL,Apple Inc,0.9505577087402344,0.024892428889870644,0.02454984188079834
05/11/2023,3:26AM,Dow Jones News,Apple Faces Italian Antitrust Probe Over Dominant Position in App Market,NASDAQ:AAPL,Apple Inc,0.016476314514875412,0.9488213062286377,0.03470239415764809
05/09/2023,9:03AM,Business Wire,Apple brings Final Cut Pro and Logic Pro to iPad,NASDAQ:AAPL,Apple Inc,0.29321128129959106,0.008497176691889763,0.6982914805412292
05/05/2023,10:27AM,Dow Jones News,Apple On Track for Highest Close Since August 2022 -- Data Talk,NASDAQ:AAPL,Apple Inc,0.3357045650482178,0.03745177015662193,0.6268436312675476
05/04/2023,4:30PM,Business Wire,Apple reports second quarter results,NASDAQ:AAPL,Apple Inc,0.03311322629451752,0.14419513940811157,0.8226916193962097
04/25/2023,11:30PM,Business Wire,"Apple MixC Shenzhen opens Friday, April 28, in China",NASDAQ:AAPL,Apple Inc,0.049222711473703384,0.013067692518234253,0.9377095699310303
04/19/2023,4:30AM,Business Wire,"Apple Saket will open this Thursday, April 20, in New Delhi",NASDAQ:AAPL,Apple Inc,0.03443589806556702,0.02056533470749855,0.9449986815452576
04/17/2023,10:51AM,Dow Jones News,Apple Launches Savings Account with 4.15% Interest,NASDAQ:AAPL,Apple Inc,0.2975454330444336,0.026479018852114677,0.6759755611419678
04/17/2023,12:30AM,Business Wire,Apple BKC in Mumbai opens for customers this Tuesday,NASDAQ:AAPL,Apple Inc,0.09969589114189148,0.011121964082121849,0.8891820907592773
04/13/2023,8:48AM,Dow Jones News,Apple to Use Recycled Cobalt in All Apple-Designed Batteries by 2025,NASDAQ:AAPL,Apple Inc,0.13982613384723663,0.00821874663233757,0.8519551157951355
04/13/2023,8:00AM,Business Wire,Apple will use 100 percent recycled cobalt in batteries by 2025,NASDAQ:AAPL,Apple Inc,0.15304236114025116,0.007635935675352812,0.8393216729164124
04/10/2023,9:28AM,Dow Jones News,"PC Shipments Drop in the First Quarter, With Apple Leading the Decline",NASDAQ:AAPL,Apple Inc,0.007659786846488714,0.9751752018928528,0.01716502197086811
03/29/2023,1:00PM,Business Wire,"Apple’s Worldwide Developers Conference returns June 5, 2023",NASDAQ:AAPL,Apple Inc,0.02234768308699131,0.03880932927131653,0.9388429522514343
03/28/2023,7:00PM,Business Wire,"Apple Gangnam will welcome first customers this Friday, March 31 in South Korea",NASDAQ:AAPL,Apple Inc,0.2648242712020874,0.00844813883304596,0.7267276048660278
03/28/2023,2:00PM,Dow Jones News,Apple Rolls Out Payment Plans for Apple Pay Service,NASDAQ:AAPL,Apple Inc,0.029795020818710327,0.02486361935734749,0.9453414082527161
03/28/2023,11:30AM,Business Wire,Apple introduces Apple Pay Later to allow consumers to pay for purchases over time,NASDAQ:AAPL,Apple Inc,0.14254745841026306,0.011526253074407578,0.8459263443946838
03/28/2023,10:00AM,Business Wire,Apple Music Classical is here,NASDAQ:AAPL,Apple Inc,0.03827407956123352,0.019625335931777954,0.9421005845069885
03/22/2023,12:01PM,Dow Jones News,Apple Says Streamed MLB Games Will Require Subscription This Season,NASDAQ:AAPL,Apple Inc,0.019468247890472412,0.04193778708577156,0.9385940432548523
03/14/2023,10:00AM,Business Wire,Apple introduces Shop with a Specialist over Video,NASDAQ:AAPL,Apple Inc,0.09435703605413437,0.0190263744443655,0.8866166472434998
03/13/2023,1:11AM,Business Wire,"Apple TV+ wins Academy Award for Best Animated Short Film The Boy, the Mole, the Fox and the Horse",NASDAQ:AAPL,Apple Inc,0.5313279032707214,0.06347902864217758,0.4051930904388428
03/07/2023,8:30AM,Business Wire,"Hello, yellow! Apple introduces new iPhone 14 and iPhone 14 Plus",NASDAQ:AAPL,Apple Inc,0.38786566257476807,0.015802830457687378,0.5963314771652222
03/03/2023,12:48AM,Dow Jones News,"Apple Supplier Foxconn Plans $700 Million India Factory, Bloomberg Reports",NASDAQ:AAPL,Apple Inc,0.2922552525997162,0.015874218195676804,0.6918705701828003
02/28/2023,3:55PM,ValueWalk,Warning: Dark Days Are Closing In On Apple,NASDAQ:AAPL,Apple Inc,0.03557838127017021,0.6361690163612366,0.3282526135444641
02/28/2023,2:21PM,ValueWalk,The Tactics Apple Have Used To Avoid Mass Layoffs – For Now At Least,NASDAQ:AAPL,Apple Inc,0.030049117282032967,0.6864745020866394,0.28347641229629517
02/23/2023,3:34AM,Dow Jones News,"Apple Taps China's Luxshare to Help Develop Augmented Reality Device, Nikkei Asia Reports",NASDAQ:AAPL,Apple Inc,0.7936104536056519,0.008382164873182774,0.19800738990306854
02/03/2023,2:24AM,Dow Jones News,"Stocks to Watch: Apple, Amazon.com, Alphabet, Magenta Therapeutics, Clorox",NASDAQ:AAPL,Apple Inc,0.031309209764003754,0.024215927347540855,0.9444749355316162
01/30/2023,11:15AM,Business Wire,Apple Music launches Rihanna’s Road to Halftime ahead of Super Bowl LVII,NASDAQ:AAPL,Apple Inc,0.04625975713133812,0.02444106712937355,0.9292991757392883
01/24/2023,11:01AM,Business Wire,Apple builds on privacy commitment by unveiling new education and awareness efforts on Data Privacy Day,NASDAQ:AAPL,Apple Inc,0.844468891620636,0.008325500413775444,0.14720560610294342
01/19/2023,4:49AM,Finscreener.org,Apple: The Only Big Tech Company That Has Not Announced Layoffs,NASDAQ:AAPL,Apple Inc,0.008654012344777584,0.932087242603302,0.059258833527565
01/18/2023,9:00AM,Business Wire,Apple introduces the new HomePod with breakthrough sound and intelligence,NASDAQ:AAPL,Apple Inc,0.6631619930267334,0.010860945098102093,0.32597699761390686
01/17/2023,9:00AM,Business Wire,Apple unveils M2 Pro and M2 Max: next-generation chips for next-level workflows,NASDAQ:AAPL,Apple Inc,0.238632470369339,0.00989321619272232,0.7514743208885193
01/17/2023,9:00AM,Business Wire,"Apple unveils MacBook Pro featuring M2 Pro and M2 Max, with more game-changing performance and the longest battery life ever in a Mac",NASDAQ:AAPL,Apple Inc,0.7168557047843933,0.011902917176485062,0.2712413966655731
01/17/2023,9:00AM,Business Wire,"Apple introduces new Mac mini with M2 and M2 Pro — more powerful, capable, and versatile than ever",NASDAQ:AAPL,Apple Inc,0.7756036520004272,0.009898711927235126,0.2144976258277893
01/12/2023,6:37PM,Dow Jones News,"Apple CEO Cook 2022 Total Compensation Was $99 Million, 2023 Target is For Less",NASDAQ:AAPL,Apple Inc,0.03951194882392883,0.10016761720180511,0.8603204488754272
01/11/2023,11:05AM,Dow Jones News,Apple Rolls Out New Features for Its Maps App,NASDAQ:AAPL,Apple Inc,0.2139325886964798,0.009917161427438259,0.7761501669883728
